标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
安宁主干道繁华地段精装房 业主诚意出售 采光无遮挡,乾昌·水榭华庭 -海关,3室2厅 | 138.53平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,160,"11,550元/平"
业主诚心出售，各位小伙伴们多推推！！！！！！,金川•聚金雅园 -北面滩,3室2厅 | 128.65平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 一年前发布,155,"12,049元/平"
采光充足 6米开间 大窗户 一梯一户 电梯房,兰铝一区 -西固城,3室2厅 | 153.99平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,160,"10,391元/平"
玉门街 亚太新村 三室两厅 精装修 电梯房 看房方便,亚太新村 -西固城,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,7人关注 / 11个月以前发布,96,"8,496元/平"
辰光小区 炼二 通透户型 交通便利 小区环境好,辰光小区 -西固城,2室1厅 | 69.44平米 | 东 西 | 简装 | 低楼层(共8层)  | 板楼,3人关注 / 一年前发布,74,"10,657元/平"
西站 西太华工贸小区 正规两室经典户型  停车方便,西太华工贸集团小区 -晏家坪,2室1厅 | 98.82平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,2人关注 / 6个月以前发布,78,"7,894元/平"
七里河区龚家湾和泰家园电梯房，正规3室一厅,和泰家园 -晏家坪,3室1厅 | 113.66平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,116,"10,206元/平"
广场 通信局家属院  电梯高层 客厅三房朝南. 三十五,通信管理局家属院 -东方红广场,4室2厅 | 198.01平米 | 南 西 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 8个月以前发布,440,"22,222元/平"
费家营十字水榭华庭三室大户型型电梯房出售，精装,乾昌·水榭华庭 -海关,3室2厅 | 158平米 | 南 西 | 精装 | 中楼层(共28层)  | 板楼,3人关注 / 一年前发布,190,"12,026元/平"
金色堤岸  三室两厅  东南采光  水车园 可按揭,金色堤岸 -东方红广场,3室2厅 | 99.35平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 5个月以前发布,295,"29,694元/平"
水车园  地税局家属院    一梯l两户 层高3.3米,地税局家属院 -东方红广场,3室2厅 | 185.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,370,"19,935元/平"
时代伟业 3室2厅 南 北,时代伟业 -东部,3室2厅 | 130.41平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,165,"12,653元/平"
双城门电梯高层三室无浪费产权清晰 业主委托,陇华大厦 -西关南关,3室2厅 | 147.43平米 | 东北 | 简装 | 中楼层(共30层)  | 板楼,4人关注 / 一年前发布,185,"12,549元/平"
海关精装修三室出售 单价低 业主诚心出,银滩雅苑 -海关,3室2厅 | 146.84平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,6人关注 / 9个月以前发布,198,"13,485元/平"
小高层。绿化高 公摊低，交通便利,豐润花园 -海关,3室2厅 | 121.53平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,3人关注 / 5个月以前发布,120,"9,875元/平"
安宁费家营商圈精装两室 南北通透 拎包住,八盘峡水电厂住宅小区 -海关,2室2厅 | 92.28平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 9个月以前发布,98,"10,620元/平"
繁华地带  三室河景  视野好  业主急售,永新华世界湾 -海关,3室2厅 | 138.75平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,190,"13,694元/平"
铁路南场 单位缩水房 无公摊 使用面积大 停车方便,铁路南场小区（建西西路） -西站,2室2厅 | 61平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,67.8,"11,115元/平"
书香名府好房，好地段，好楼层！,琨宇·书香名府 -兰州新区,4室2厅 | 111.31平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,1人关注 / 5个月以前发布,70.8,"6,361元/平"
七里河  电力小区 按揭电梯房 产权清晰,电力小区 -建工局,3室1厅 | 96平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,132,"13,750元/平"
四室两厅户型，中间楼层，采光好，视野没遮挡,碧桂园城市花园 -兰州新区,4室2厅 | 150.52平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 10个月以前发布,83,"5,515元/平"
西站三室一厅 中间楼层  南北通透 采光好,七里河粮食局家属院（王家堡） -吴家园,3室1厅 | 72.73平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 10个月以前发布,86,"11,825元/平"
新康花园15年新建商品房 商务区旁 精装装修 奢华三室,新康花园 -海关,3室2厅 | 141.52平米 | 南 西 | 简装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,163,"11,518元/平"
雁滩高滩板块，精装四居，小区人文坏境较好,红叶城 -雁滩高新区,4室2厅 | 177.23平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,200,"11,285元/平"
天昱凤凰城，南北通透，户型方正，诚心出售,天昱凤凰城A区 -九州,2室1厅 | 91.05平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,84,"9,226元/平"
上河苑 3室2厅 东 东北,上河苑 -吴家园,3室2厅 | 137.58平米 | 东 东北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 5个月以前发布,178,"12,938元/平"
万达广场 大润发 双商圈  理想楼层 两是两厅两卫,兰州行政学院 -万达大润发,2室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,116,"10,842元/平"
海关地铁口精装房，2室落地窗，好楼层可按揭,众邦金水湾 -海关,2室2厅 | 104.65平米 | 南 西 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,136,"12,996元/平"
天鹅湖小区 电梯房 兰化四小 采光好 户型好 婚房,天鹅湖小区东区 -天鹅湖,2室2厅 | 109.65平米 | 东南 | 简装 | 中楼层(共12层)  | 暂无数据,1人关注 / 一年前发布,112,"10,215元/平"
落地窗  可看黄河  业主急售 有钥匙,雁京.罗马花园 -海关,2室2厅 | 92.57平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,7人关注 / 9个月以前发布,113,"12,207元/平"
房子南边通透    户型好  采光佳  地理位置好,蓝岸丽舍 -金港城,4室2厅 | 162平米 | 北 南 | 简装 | 中楼层(共31层)  | 板楼,2人关注 / 8个月以前发布,210,"12,963元/平"
安宁区电校住宅小区2居室中间楼层,电校住宅小区 -费家营,2室1厅 | 52.02平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,47,"9,035元/平"
楼层好光线充足毛坯房 视野开阔 正规南北通透三室,银河国际A区 -碧桂园,3室2厅 | 126.27平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,119,"9,425元/平"
天庆国际新城 三室两厅 精装修,天庆国际新城 -深沟桥,3室2厅 | 151.31平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,180,"11,897元/平"
万达旁 省纪委两室 南北通透 楼层适中 采光好 可按揭,省纪检委家属院 -万达大润发,2室2厅 | 91.5平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,105,"11,476元/平"
南北通透，视野开阔，日照充足，配套设施齐全,临洮街小区 -西固城,2室2厅 | 106.37平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,93,"8,744元/平"
房 子 楼 龄 较 新是 单 面 朝 南 的户型小 区 绿 化,琨宇·书香名府 -兰州新区,3室2厅 | 110.03平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,79,"7,180元/平"
房子产权清晰 电梯房 户型方正 南北通透,天庆嘉园水云阁 -雁滩高新区,2室2厅 | 139.49平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 11个月以前发布,213,"15,270元/平"
二十六街区南北通过同户型 干净整洁    采光充足,南苑小区 -西固城,3室2厅 | 82.17平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,88,"10,710元/平"
中集幸福里，南北通透，精装三居室。,中集幸福里 -莫高大道,3室2厅 | 147.78平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,7人关注 / 一年前发布,179,"12,113元/平"
南北通透，楼层好，采光好，配套齐全，交通便利,南苑小区 -西固城,3室2厅 | 132.44平米 | 东 南 西 | 简装 | 中楼层(共9层)  | 板楼,4人关注 / 一年前发布,134,"10,118元/平"
产权清晰 中间户型 采光佳 抢手户型 看房方便,兰石家园 -兰州新区,3室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共17层)  | 暂无数据,1人关注 / 5个月以前发布,62,"5,795元/平"
小区配套完善，绿化园林式小区。,中海兰庭 -安宁高新区,3室2厅 | 97.39平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,7人关注 / 一年前发布,128,"13,144元/平"
房子户型方正  采光好  交通方便,东苑小区 -西固城,2室2厅 | 94平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,1人关注 / 10个月以前发布,103,"10,958元/平"
安宁师大旁，铝厂东区2室，中间4楼，产权清晰，可按揭,甘肃东兴铝业兰州生活小区东区 -师大,2室1厅 | 58.36平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,58,"9,939元/平"
万达大润发商圈 宁安小区南北通透3室2厅1卫 产权清晰,宁安小区 -万达大润发,3室1厅 | 109.64平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,107,"9,760元/平"
海关地铁口天居锦河丹堤3居婚房,天居锦河丹堤 -海关,3室2厅 | 98.63平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,30人关注 / 一年前发布,119.9,"12,157元/平"
万达商圈 荣达小区 南北通透 采光好 随时可看,荣达小区 -万达大润发,3室2厅 | 139.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,235,"16,883元/平"
三室两厅，东西南朝向，可按揭，王家堡，二十二,鸿运家园 -吴家园,3室2厅 | 117.88平米 | 东 西 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 7个月以前发布,140,"11,877元/平"
天居锦河丹迪位于安宁海关地铁口，南北通透，户型方正,天居锦河丹堤 -海关,3室2厅 | 93.22平米 | 东南 北 | 简装 | 中楼层(共13层)  | 板楼,3人关注 / 6个月以前发布,114.8,"12,315元/平"
幸福小区两室两厅南北通透精装修,幸福小区 -西固城,2室2厅 | 112.77平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,155,"13,745元/平"
天鹅湖 宏利大厦  精装 可按揭,宏利大厦 -天鹅湖,2室1厅 | 102.35平米 | 东北 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 一年前发布,86,"8,403元/平"
福利路 宏利大厦 三室两厅 户型方正 采光好 可按揭,宏利大厦 -天鹅湖,3室2厅 | 167.99平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,149.8,"8,918元/平"
该小区房屋视野开阔，采光充足，环境优美,兰石睿智名居 -兰州新区,3室2厅 | 144.15平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,3人关注 / 一年前发布,92,"6,383元/平"
楼层位置好   交通便利  单价低,金兰小区 -西固城,3室2厅 | 113.21平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,89,"7,862元/平"
南关十字 酒泉路 朝南 采光好，交通便利,井儿街 -西关南关,3室2厅 | 208平米 | 东 南 西 | 简装 | 高楼层(共8层)  | 板塔结合,18人关注 / 7个月以前发布,180,"8,654元/平"
费家营十字南北通透 毛坯三室 跃层  交通便利,工商银行家属院 -海关,4室2厅 | 180.89平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,7人关注 / 一年前发布,190,"10,504元/平"
电梯房视野宽阔 采光充足 配套设施齐全 产权清晰,石化四街西区 -天鹅湖,3室2厅 | 137.92平米 | 东 西 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 一年前发布,139.8,"10,137元/平"
新区繁华地段、低首付、配套完善、低价出售,兰石家园 -兰州新区,3室1厅 | 104.87平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,52,"4,959元/平"
安宁主干道繁华地段精装房子出售,乾昌·水榭华庭 -海关,3室2厅 | 138.53平米 | 南 西 北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,143,"10,323元/平"
安宁  费家营  长风小区 南北通透正规 三室一厅,长风新村 -安宁高新区,3室1厅 | 76.42平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 11个月以前发布,66,"8,637元/平"
雁京罗马花园位于安宁海关地铁口，精装修。,雁京.罗马花园 -海关,4室2厅 | 217平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,8人关注 / 一年前发布,350,"16,130元/平"
九州城B区商品房，交通便利，配套齐全,九洲城（B区） -九州,3室2厅 | 152.2平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,105,"6,899元/平"
西关十字兰大二院地铁口电梯高层,萃英门小区 -文化宫,4室2厅 | 191.89平米 | 西北 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,248,"12,925元/平"
双城门电梯高层三室无浪费产权清晰 业主委托,陇华大厦 -西关南关,3室2厅 | 147.43平米 | 东北 | 简装 | 中楼层(共30层)  | 板楼,4人关注 / 一年前发布,185,"12,549元/平"
安宁北，单价7600精装现房，产权到位可按揭,保利领秀山一区 -十里店,3室2厅 | 117.56平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 11个月以前发布,88,"7,486元/平"
业主诚心出售，各位小伙伴们多推推！！！！！！,金川•聚金雅园 -北面滩,3室2厅 | 128.65平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 一年前发布,155,"12,049元/平"
二热十字华城苑107平正规三室可按揭急售有钥匙,华城苑小区（南区） -东部,3室2厅 | 107.1平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,120,"11,205元/平"
碧桂园约克郡1号院 南北通透精装修 拎包入住,约克郡一号院 -碧桂园,3室2厅 | 131.26平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,112,"8,533元/平"
房子是满五年的。公摊小，没有浪费空间，户型正规，,花城小区 -下西园,3室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,7人关注 / 6个月以前发布,86.8,"9,753元/平"
新区绿地智慧金融城A区 4室2厅2卫 视野开阔 光线很好,智慧金融城A区 -兰州新区,4室2厅 | 169.66平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,2人关注 / 7个月以前发布,118,"6,956元/平"
产权清晰，南北通透 楼层好  环境优美 视野开阔,中海·河山郡 -莫高大道,3室2厅 | 116.48平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,14人关注 / 一年前发布,124,"10,646元/平"
此房地段好房子，房子干净也方正，采光也好，交通也方,玉门街房管所小区 -西固城,3室2厅 | 130.33平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 3个月以前发布,106,"8,134元/平"
铁路家属院北区 2室2厅 南 北,铁路家属院北区 -上西园,2室2厅 | 60平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,63,"10,500元/平"
朝南户型，采光好，精装修，配套设施齐全，交通便利,下西园小区 -下西园,3室2厅 | 76.76平米 | 东 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 5个月以前发布,82,"10,683元/平"
西固 兰炼十字 两室一厅 装修好 中间楼层 可按揭,三毛小区 -兰炼十字,3室2厅 | 97.1平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,88,"9,063元/平"
二热高层  精装三室两厅 电梯房  业主急售 出价就谈,二热家园（二区） -东部,3室2厅 | 162.25平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,4人关注 / 11个月以前发布,190,"11,711元/平"
九州城B区商品房，交通便利，配套齐全,九洲城（B区） -九州,3室2厅 | 152.2平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,105,"6,899元/平"
产权清晰，南北通透 楼层好  环境优美 视野开阔,中海·河山郡 -莫高大道,3室2厅 | 116.48平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,14人关注 / 一年前发布,124,"10,646元/平"
铁路家属院北区 2室2厅 南 北,铁路家属院北区 -上西园,2室2厅 | 60平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,63,"10,500元/平"
