标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
水文局家属楼五拖六  使用面积大  均价4500,水文局家属楼 -老城区,5室2厅 | 178.35平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,85,"4,766元/平"
金牛广场步梯5楼  清水  有房证能贷款,金牛广场 -河西,2室1厅 | 82.5平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,40,"4,849元/平"
水域蓝湾C区D区 2室1厅 南 北,水域蓝湾C区D区 -经济技术开发区,2室1厅 | 100平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,72,"7,200元/平"
体委小区 2室2厅 南,体委小区 -老城区,2室2厅 | 70平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,44,"6,286元/平"
此房通透格局 新装修 富力 第四中 物业环 境好,檀香湾 -经济技术开发区,3室1厅 | 121平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,97,"8,017元/平"
全新小区  全新装修 四中近  一天没住 拎包入住,富力·尚悦居 -经济技术开发区,3室2厅 | 122.25平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,2人关注 / 一年前发布,95,"7,771元/平"
批发城三公寓 2室1厅 南,批发城三公寓 -老城区,2室1厅 | 114平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,56,"4,913元/平"
蓝山郡 3室2厅 南,蓝山郡 -铁南,3室2厅 | 99.16平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 一年前发布,102,"10,287元/平"
家福名苑 3室2厅 南,家福名苑 -老城区,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,97,"7,462元/平"
水岸春城 希望物业 顶楼 三居室 通透 带阳台,泽信水岸春城 -老城区,3室1厅 | 113平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,75,"6,638元/平"
河畔花园步梯二楼 南北朝向 拎包入住,河畔花园B区 -经济技术开发区,3室2厅 | 134平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,91,"6,792元/平"
水域蓝湾A区B区 3室2厅 南 北,水域蓝湾A区B区 -经济技术开发区,3室2厅 | 141.24平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,146,"10,338元/平"
市里成熟小区  交通便利  出行方便,金龙苑 -老城区,2室1厅 | 100平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,58,"5,800元/平"
三室一厅一厨两卫.简单装修，可随时入住,安顺小区 -铁南,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,58,"5,273元/平"
富景华城 3室2厅 南,富景华城 -铁南,3室2厅 | 122.84平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,102,"8,304元/平"
诚心出售 2-1-1-1 86.00m² 60 万,地王花园 -经济技术开发区,2室1厅 | 86平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,60,"6,977元/平"
铁中旁边     孩子上学方便,党校北小区 -铁南,2室1厅 | 89.73平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,49,"5,461元/平"
急售林业局 步梯三楼 三室 拎包入住,林业局家属楼 -老城区,3室1厅 | 79平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60,"7,595元/平"
鸿雁楼小区 2室1卫 户型合理 采光充足,鸿雁楼小区 -老城区,2室1厅 | 73平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,55,"7,535元/平"
裕景花园二室一厅步梯二楼南北通透房证满五,裕景花园 -老城区,2室1厅 | 83.64平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,57,"6,815元/平"
龙兴世纪城(科尔沁区)3-2-1-2 143.00m² 110 万,龙兴世纪城(科尔沁区) -经济技术开发区,3室2厅 | 143平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,110,"7,693元/平"
利业金灿家园 2室1厅 南,利业金灿家园 -铁南,2室1厅 | 94.27平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,60,"6,365元/平"
步梯6楼，供热采光好，距离交通二中近,胜利路小区 -老城区,2室1厅 | 61.75平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,35.5,"5,749元/平"
龙庭国际 改善大平层 精装修拎包入住 楼层好 视野开阔,诚达·龙庭国际 -老城区,3室2厅 | 171.46平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,155,"9,041元/平"
红胜小区56平33万 看房随时,红胜小区（胜利路） -老城区,2室1厅 | 56平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,33,"5,893元/平"
批发街附++近 步梯4楼 简装 出行便利 边设施配套齐全,荣达小区 -老城区,2室1厅 | 68平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,35,"5,148元/平"
振兴商业村步梯5楼，拎包入住 采光好,振兴商业村 -老城区,2室1厅 | 84平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,52,"6,191元/平"
京汉天玺电梯中层 毛坯随意装修 看房子提前联系,京汉天玺 -经济技术开发区,3室2厅 | 144.58平米 | 南 北 | 其他 | 高楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,92,"6,364元/平"
彩虹桥下 电梯全明户型 简单装修 房证满二,高尔夫都市花园 -老城区,2室1厅 | 82平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,55,"6,708元/平"
该房屋南北通透格局，配套设施齐全，交通便利,中信亚龙湾 -经济技术开发区,3室2厅 | 133.25平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,88,"6,605元/平"
低于市场价且物美价廉的优质好房,附属医院家属楼 -老城区,2室1厅 | 60平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,33.5,"5,584元/平"
希望物业  旭园132平19楼南北通透,泽信·旭园 -经济技术开发区,3室2厅 | 132平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,100,"7,576元/平"
军分区小区 3室1厅 南,军分区小区 -老城区,3室1厅 | 157平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,85,"5,415元/平"
水域蓝湾4楼 中等装修干净板正 拎包入住,水域蓝湾A区B区 -经济技术开发区,2室1厅 | 93.24平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,71,"7,615元/平"
电梯7楼 3室户型精装修拎包入住,富景华庭二期 -老城区,3室1厅 | 108平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,86,"7,963元/平"
桥北 电梯房 两居室  有房证 95平米 55万,学府家园(科尔沁区) -经济技术开发区,2室1厅 | 95平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,2人关注 / 一年前发布,55,"5,790元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,通辽碧桂园 -经济技术开发区,3室2厅 | 143平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,95,"6,644元/平"
江南城市公馆 电梯9楼 毛坯房随意装修,江南·城市公馆 -老城区,2室1厅 | 97.21平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,2人关注 / 一年前发布,70,"7,201元/平"
园丁   南区   步梯4楼    80平,园丁南区 -老城区,2室1厅 | 80.65平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,46,"5,704元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,桃源居 -老城区,2室1厅 | 91.53平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,55,"6,009元/平"
悦熙台新上房源，业主诚心出售，看房随时提前打电话,泰丰·悦熙台 -经济技术开发区,2室1厅 | 106平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,2人关注 / 一年前发布,85.5,"8,067元/平"
天赐良园 万达旁 精装两居 东西全带 可贷款,天赐良园 -老城区,2室1厅 | 89.84平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,71,"7,903元/平"
桥北  1楼带院 116平 精装修  拎包入住,美瑞龙源 -经济技术开发区,2室1厅 | 116平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,2人关注 / 3个月以前发布,78,"6,725元/平"
市里 公寓 51平 使用面积102平 挑高客厅精装修,诚达·双玺国际 -老城区,2室1厅 | 51平米 | 东 | 其他 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,46,"9,020元/平"
挨近.学.校，商场，医院，交通便利，购物方便，采光好,富景华城 -铁南,3室2厅 | 71.32平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,70,"9,815元/平"
阿利坦银河湾 3室2厅 南,阿利坦银河湾 -经济技术开发区,3室2厅 | 234平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,3人关注 / 一年前发布,319,"13,633元/平"
平安家园，一楼半地下带院子精装修、,平安家园 -老城区,3室3厅 | 129平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,130,"10,078元/平"
永安五区  步梯5楼    有房证   可贷款,永安五区东 -铁南,2室1厅 | 63平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,35,"5,556元/平"
（泰和嘉园2-1-1-1 87.17m² 55 万）,泰和嘉园 -老城区,2室1厅 | 87.17平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,55,"6,310元/平"
（财富4-2-1-2 168.94m² 110 万）,财富中心 -老城区,4室2厅 | 168.94平米 | 南 北 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 一年前发布,105,"6,216元/平"
碧桂园112平2居中等装修有房证可贷款,通辽碧桂园 -经济技术开发区,2室2厅 | 112.14平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,68,"6,064元/平"
成熟小区  交通便利  出行方便,地矿花园 -经济技术开发区,2室1厅 | 140平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,92,"6,572元/平"
水域蓝湾电梯7楼 精装  户型好 采光好,水域蓝湾A区B区 -经济技术开发区,2室1厅 | 118平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,82,"6,950元/平"
世纪园小区西区2-1-1-1 87.88m²,世纪园小区西区 -铁南,2室1厅 | 87.88平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,55,"6,259元/平"
美瑞龙源    电梯中层   中等装修   房证到手,美瑞龙源 -经济技术开发区,2室1厅 | 91平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 9个月以前发布,63,"6,924元/平"
美瑞龙源  电梯中层   毛坯,美瑞龙源 -经济技术开发区,2室1厅 | 90.47平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,56,"6,190元/平"
北国之春(科尔沁区) 3室2厅 南,北国之春(科尔沁区) -老城区,3室2厅 | 173.7平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 一年前发布,135,"7,773元/平"
泰安家园    两居室   视野宽阔,泰安家园 -河西,2室1厅 | 73.23平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,40,"5,463元/平"
：楼层好，采光充足，适合小两口居住和出租,天骄城 -老城区,2室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,63,"6,703元/平"
京汉一期，视野开阔。满五唯一。位置优质,京汉新城一期 -经济技术开发区,2室1厅 | 78.86平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,51.5,"6,531元/平"
金桥小区 2室1厅 南,金桥小区 -老城区,2室1厅 | 85.9平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,50,"5,821元/平"
大华粮库小区 市区西侧  临 近医院 车站,大华粮库小区 -老城区,3室1厅 | 67平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,40,"5,971元/平"
京汉一期 步梯5楼顶 婚房 通透格局,京汉新城一期 -经济技术开发区,2室1厅 | 85平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,57,"6,706元/平"
京汉八期电梯高层  采光视野好 看房子提前打电话,京汉馨家 -经济技术开发区,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,111,"8,952元/平"
百卉苑步梯5楼    拎包入住    明仁,百卉苑 -老城区,3室1厅 | 128平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,85,"6,641元/平"
百花新城芙蓉园 精装大三居室拎包入住改善房采光好,泽信百花新城芙蓉园 -老城区,3室2厅 | 124.34平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,89,"7,158元/平"
碧桂园高 端小区 电梯楼 诚心出售 拎包入住房证过两年,通辽碧桂园 -经济技术开发区,3室2厅 | 143平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,95,"6,644元/平"
辽河一号院  一二楼复式  带院子   精装修,辽河一号院 -经济技术开发区,4室2厅 | 270平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,165,"6,112元/平"
桥北电梯一楼飞机户型房证随时办毛坯随意装修看房方便,京汉叫来河畔 -经济技术开发区,6室4厅 | 142平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,126,"8,874元/平"
万达华府 不挡光 南北通 两室一厅 通透,万达华府 -老城区,2室1厅 | 95平米 | 南 | 其他 | 低楼层(共35层)  | 暂无数据,6人关注 / 一年前发布,65,"6,843元/平"
成熟小区  交通便利  出行方便,世纪园小区东区 -铁南,2室1厅 | 89.87平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,55,"6,120元/平"
此房房证满两年，家具家电俱全，辽河公园南侧，,高尔夫都市花园 -老城区,2室1厅 | 115平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,78,"6,783元/平"
西拉木伦公园附+近 南北通透格局 看房方便,自来水小区A区 -老城区,2室1厅 | 69.99平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,45.5,"6,501元/平"
步梯4楼 南北通透 2居室 看房方便,平安北区 -老城区,2室1厅 | 80.5平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,55,"6,833元/平"
巴黎之春三室一厅采光充足交通便利,巴黎之春 -老城区,3室1厅 | 105.65平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"5,017元/平"
诚达龙庭国际C区 3室2厅 南,诚达龙庭国际C区 -老城区,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,91,"7,223元/平"
吉地华府   步梯2居   离公园近,吉地华府 -老城区,2室1厅 | 73.33平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,47,"6,410元/平"
万达附 近 民泰璟苑 三室两厅厅 通透 婚房装修,民泰景苑 -老城区,3室1厅 | 130平米 | 南 北 | 其他 | 中楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,87,"6,693元/平"
大华粮库小区2-1-1-1 68.00m² 35 万,大华粮库小区 -老城区,2室1厅 | 68平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,36,"5,295元/平"
业主诚心出售，小区环境好，位置好，视野开阔,万达华府 -老城区,3室2厅 | 137.4平米 | 南 | 其他 | 低楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,93,"6,769元/平"
璟苑   交通便利  采光充足,璟苑B区 -经济技术开发区,2室1厅 | 155.54平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,83,"5,337元/平"
步梯4楼 南北通透 2居室 看房方便,平安北区 -老城区,2室1厅 | 80.5平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,55,"6,833元/平"
房间宽敞明亮，，环境好，配套设施齐全，生活便利,河畔花园D区 -经济技术开发区,3室2厅 | 133.5平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,91,"6,817元/平"
吉地华府   步梯2居   离公园近,吉地华府 -老城区,2室1厅 | 73.33平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,47,"6,410元/平"
大华粮库小区2-1-1-1 68.00m² 35 万,大华粮库小区 -老城区,2室1厅 | 68平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,36,"5,295元/平"
