标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
建业大城小院，电梯洋房，带车库，业主诚心出售。,建业城一期（大城小院） -南环,3室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,5人关注 / 5个月以前发布,102,"7,670元/平"
正岩城市花园首付6万，28万买三房，有证可分期有钥匙,正岩城市花园 -七一路西段商圈,3室1厅 | 98.73平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,28,"2,837元/平"
此房格局好楼层好视野宽阔采光充足配套齐全交通便利,尚书府东宸 -沈丘县,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,66,"5,594元/平"
天鹏皇朝电梯洋房 可以按揭 采光好 户型方正 有钥匙,天鹏皇朝 -南环,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,65,"5,509元/平"
看这个 天鹏皇朝毛坯小三房，首付少可随时看房,天鹏皇朝 -南环,3室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共19层)  | 板楼,7人关注 / 一年前发布,49,"4,804元/平"
万科品质楼盘，精装交付，交付即可入住,万科·溥天龙堂 -南环,2室2厅 | 79.5平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,75,"9,434元/平"
位置好，二楼带平台，居住比较舒适。,国控睿智城1期 -项城市,3室2厅 | 129平米 | 东 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,4人关注 / 一年前发布,65,"5,039元/平"
带车位！！建业春天里电梯洋房 三室两厅两卫 双卧朝南,建业春天里(周口） -南广场万达商圈,3室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共9层)  | 塔楼,1人关注 / 7个月以前发布,95,"7,143元/平"
睿智时尚新天地，精装修，带地暖，诚心出售,睿智时尚新天地 -项城市,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,60,"4,412元/平"
新小区，业主诚心出售，看房提前约,名门世家 -项城市,6室2厅 | 260平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,64,"2,462元/平"
建邺城，户型合理，二室朝阳，前排采光好。,项城建业城 -项城市,3室2厅 | 142平米 | 东 | 毛坯 | 低楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,87,"6,127元/平"
此小区成熟小区，教育，购物，方便,荣新花园 -项城市,3室2厅 | 120平米 | 西南 | 毛坯 | 低楼层(共7层)  | 暂无数据,3人关注 / 9个月以前发布,33,"2,750元/平"
滨江国际星城lw位置，采光fc好。,滨江国际星城 -五一广场商圈,3室2厅 | 116.7平米 | 北 南 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 10个月以前发布,59,"5,056元/平"
高层复式楼，客厅镂空，户型通透，可按揭,中央溪苑樟园 -项城市,5室3厅 | 286平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 5个月以前发布,133,"4,651元/平"
鸿博家园 毛坯现房 可按揭 随时装修入住 急,鸿博家园 -项城市,3室2厅 | 112.15平米 | 南 | 毛坯 | 高楼层(共17层)  | 平房,0人关注 / 一年前发布,52,"4,637元/平"
阳光花园，多层二楼，三室朝南，有证可按揭，看房方便,阳光花园 -现代城商圈,3室2厅 | 137.19平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,13人关注 / 一年前发布,56.5,"4,119元/平"
汇林二期，毛坯3.4楼复式，带平台，有让可按揭,汇林二期 -兰亭山水商圈,4室2厅 | 222平米 | 南 | 毛坯 | 中楼层(共4层)  | 板楼,0人关注 / 一年前发布,128,"5,766元/平"
泰地现代城三四五复式 大五房 毛坯随意装 一手合同,泰地现代城 -现代城商圈,5室2厅 | 277.4平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 一年前发布,182,"6,561元/平"
滨江国际星城，临河观景房，有证可按揭,滨江国际星城 -五一广场商圈,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,18人关注 / 一年前发布,58,"4,394元/平"
育新街东段，面积大，采光无遮。,周口市畜牧局家属院 -中心医院商圈,3室2厅 | 140平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,31,"2,215元/平"
建业春天交通方便阳光充足适合居住是不错的选择,建业春天里(项城） -项城市,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,8人关注 / 一年前发布,63,"5,944元/平"
小区环境好，交通便利，购物方便,明建花园 -项城市,4室2厅 | 156平米 | 东 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,63,"4,039元/平"
建业春天里 温馨三房 电梯房 客厅朝阳 卧室朝阳随时看,建业春天里(周口） -南广场万达商圈,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,3人关注 / 一年前发布,63,"5,479元/平"
"天安世家,业主诚心出售,,,,,,,,,,,,,,,,,",坤禧天安世家 -项城市,3室2厅 | 127.04平米 | 东 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,70,"5,511元/平"
联盟新城电梯洋房，户型合理全天采光户型看房有证,联盟新城 -现代城商圈,4室2厅 | 136平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,80,"5,883元/平"
中悦·上尊 2室2厅 南,中悦·上尊 -中原国际商贸城商圈,2室2厅 | 97.12平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,55.5,"5,715元/平"
交通路和汉阳路交叉口。。。。。,土地局家属楼 -现代城商圈,3室2厅 | 148平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,35,"2,365元/平"
建业春天里+临万达+中间户型+没有浪费空间,建业春天里(周口） -南广场万达商圈,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,4人关注 / 一年前发布,66,"5,740元/平"
万科溥天龙堂精装四房 中间好楼层 环境优美！,万科·溥天龙堂 -南环,4室2厅 | 139平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,102,"7,339元/平"
适合居住，上学方便，有大型商场，生活交通便利,项城中心广场 -项城市,3室1厅 | 91平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,40,"4,396元/平"
嘉年华 毛坯大三房急售  看房方便,家年华 -万基城商圈,3室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,32,"2,303元/平"
中间楼层  格局好  采光好  正通透,幸福小区 -项城市,3室2厅 | 125.08平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,55,"4,398元/平"
如意府.户型好.楼层好.价格合理.看房方便,睿智如意府 -项城市,3室2厅 | 143平米 | 西 | 毛坯 | 中楼层(共9层)  | 暂无数据,6人关注 / 一年前发布,90,"6,294元/平"
万达时代广场 现房出售 看房价位可谈,万达时代广场 -项城市,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,75,"6,000元/平"
新交房小区，户型方正，环境优美，交通方便,潘庄社区B区 -项城市,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,41,"3,417元/平"
开元大道许寨社区三室两厅一厨两卫,周口经济开发区许寨社区 -南广场万达商圈,3室2厅 | 122.9平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,37,"3,011元/平"
建业春天里，住在春天里，楼层高，视野好！,建业春天里(周口） -南广场万达商圈,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 一年前发布,70,"6,195元/平"
两个卧室朝南，客厅也朝南，物业管理五强,建业春天里(周口） -南广场万达商圈,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 9个月以前发布,66,"5,790元/平"
中间好楼层， 环境优美！，，，，,万科·溥天龙堂 -南环,3室2厅 | 119.84平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,82,"6,843元/平"
正泰路上从幼儿园高中一条街 配套设施,御景湾 -项城市,3室2厅 | 138平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,89,"6,450元/平"
房子户型比较好，采光好，生活便利,国控迎宾府 -项城市,3室2厅 | 137平米 | 东 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 5个月以前发布,75,"5,475元/平"
2楼4房，可以按揭，包更名。走一手房正常手续。,凤凰国际 -项城市,4室2厅 | 160平米 | 东 | 毛坯 | 低楼层(共12层)  | 暂无数据,4人关注 / 一年前发布,86,"5,375元/平"
房子 交通 环境 好  吃 喝  玩  乐,鑫苑新城 -项城市,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,43,"3,806元/平"
新小区，环境优美，随时装修，随时入住,坤禧天安郡 -项城市,3室2厅 | 142平米 | 东 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,95,"6,691元/平"
建业城一楼带院总高九楼，出门吉祥湖，交通方便环境好,项城建业城 -项城市,3室2厅 | 142.19平米 | 西南 西 | 毛坯 | 低楼层(共9层)  | 塔楼,4人关注 / 一年前发布,102,"7,174元/平"
4室2厅2卫，156平 ，4开间朝南，采光充足,金碧苑小区 -五一广场商圈,4室2厅 | 156.77平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,43,"2,743元/平"
双湖湾洋房业主诚心出售，环境优美，出行便利,双湖湾 -项城市,3室2厅 | 146.01平米 | 西 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,83,"5,685元/平"
经典三室，拎包入住，老社区，空间大,国发楼小区 -五一广场商圈,3室2厅 | 115.98平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,31.4,"2,708元/平"
泛华新城，大三房，简装修税满  随时过户,泛华新城 -南广场万达商圈,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共19层)  | 塔楼,1人关注 / 4个月以前发布,71,"5,591元/平"
急售万科精装现房 户型通透 拎包入住,万科·溥天龙堂 -南环,3室2厅 | 119.84平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,676元/平"
项城建业城   品质小区   人车分流   看房有钥匙,项城建业城 -项城市,3室2厅 | 141平米 | 东 | 毛坯 | 低楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,85,"6,029元/平"
业主诚心卖，中间楼层，精装交付，有证可按揭，急！,万科·溥天龙堂 -南环,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 一年前发布,100,"8,475元/平"
城南四季都有花开，这套房子装修不赖，劝君考虑,铁道家园 -泰和城商圈,3室2厅 | 129.31平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,16人关注 / 8个月以前发布,57.5,"4,447元/平"
香榭丽舍精装3房 有证满二 交通便利 X校旁步梯4楼,香榭丽舍 -南环,3室2厅 | 119.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,64,"5,365元/平"
万达时代广场.毛坯三房，带平台，业主急售。,万达时代广场 -项城市,3室2厅 | 147平米 | 西 | 毛坯 | 低楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,85,"5,783元/平"
天鹏皇朝 3室2厅 南,天鹏皇朝 -南环,3室2厅 | 118.88平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,3人关注 / 8个月以前发布,56,"4,711元/平"
两室的楼上楼下楼  可以按揭  小高层,凤凰国际 -项城市,2室1厅 | 82平米 | 南 | 毛坯 | 高楼层(共12层)  | 暂无数据,7人关注 / 一年前发布,55,"6,708元/平"
此房通风效果 ，有证满二。房间空间大，格局合理..,金汇花园 -五一广场商圈,3室2厅 | 131平米 | 南 | 简装 | 中楼层(共6层)  | 平房,8人关注 / 一年前发布,48,"3,665元/平"
如意府现房，环境优美，出行方便，业主诚心出售,睿智如意府 -项城市,5室2厅 | 276平米 | 西 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,200,"7,247元/平"
凤凰国际毛坯，电梯房，好楼层，即买即装,凤凰国际 -项城市,3室2厅 | 151平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 暂无数据,12人关注 / 一年前发布,76,"5,034元/平"
香榭丽舍 电梯好楼层 户型方正 手续齐全看房方便！,香榭丽舍 -南环,3室2厅 | 143平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,66,"4,616元/平"
精装修带地暖 户型方正 小区环境好 生活便利,万科·溥天龙堂 -南环,4室2厅 | 137平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,105,"7,665元/平"
房屋设计合理，中间偏上楼层，采光充足，通透户型,睿智时尚新天地 -项城市,3室2厅 | 138平米 | 东 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,50,"3,624元/平"
潘庄社区安置房 可以随时看 房 业主诚意出售,潘庄社区B区 -项城市,3室2厅 | 120平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,39.8,"3,317元/平"
国控睿智城  毛坯现房随时装  看房提前约,国控睿智城 -项城市,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,1人关注 / 11个月以前发布,66,"4,818元/平"
精装交付格局好，户型方正，中间楼层，小区环境好,万科·溥天龙堂 -南环,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 11个月以前发布,85,"7,204元/平"
楼下就是图书馆 大型 市场 一个屋装修的都是品牌,亿嘉新城 -项城市,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 8个月以前发布,56,"4,410元/平"
此房 南北通风 采光宽阔 一天阳光饱满 位置好,金水岸 -项城市,3室2厅 | 130平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 8个月以前发布,25,"1,924元/平"
项城建业城，环境优美，出行方便，欢迎看房，,项城建业城 -项城市,4室2厅 | 142平米 | 西 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,92,"6,479元/平"
房子业主诚心出售，业主人很爽快，价钱可谈,睿智时尚新天地 -项城市,3室2厅 | 143.26平米 | 西南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,53,"3,700元/平"
万科精装交付，格局好，户型方正，中高楼层,万科·溥天龙堂 -南环,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,76,"8,000元/平"
金汇花园  精装大三房 有证满两年 楼下有储存室,金汇花园 -五一广场商圈,3室2厅 | 135平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,42,"3,112元/平"
急售 东城丽景苑126平毛坯三房可办证可过户带车库,东城丽景苑 -项城市,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,42,"3,334元/平"
凤凰国际 顶层复式  仅售67万,凤凰国际 -项城市,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,17人关注 / 一年前发布,65,"5,200元/平"
亿嘉新城 现房复式楼 价位美丽 看房有钥匙,亿嘉新城 -项城市,5室2厅 | 174平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,6人关注 / 一年前发布,68,"3,909元/平"
视野宽阔，通透格局，优质房，采光好，看房方便。,建业置地广场 -泰和城商圈,3室2厅 | 116.13平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,72,"6,200元/平"
温馨两房，此房户型方正，精装两房，采光充足,龙润·康城 -南广场万达商圈,2室2厅 | 95平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,48,"5,053元/平"
小区地理位址置好，购物方便，交通方便。,项城中心广场 -项城市,3室2厅 | 92.92平米 | 东南 西南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,51.1,"5,500元/平"
繁华地段，临街楼栋，户型设计合理，经典方,睿智时尚新天地 -项城市,3室2厅 | 110平米 | 东南 | 简装 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,43,"3,910元/平"
凤凰国际的小高层，毛坯房子，业主诚意出售，价格不高,凤凰国际 -项城市,3室2厅 | 107平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 8个月以前发布,43,"4,019元/平"
许寨社区，大两房，户型好，采光好！可以看房！,周口经济开发区许寨社区 -南广场万达商圈,2室1厅 | 102平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,28,"2,746元/平"
18.19复式楼。镂空复式楼。有证税满，可以按揭,维也纳公园 -维也纳商圈,6室3厅 | 125.23平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,85,"6,788元/平"
