标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
万科城B区  头排 电梯洋房  156平带车位 精装修,万科城B区 -万科城,3室2厅 | 156平米 | 东 西 | 精装 | 低楼层(共13层)  | 板楼,4人关注 / 一年前发布,158,"10,129元/平"
头排江景房，两梯两户三代同堂。保持的好拎包入住,万科城B区 -万科城,3室2厅 | 166平米 | 南 北 | 简装 | 低楼层(共23层)  | 板楼,2人关注 / 一年前发布,164,"9,880元/平"
万科滨江九里电梯洋房 一楼带花园带地下毛坯 随意装修,万科滨江九里 -万科城,3室2厅 | 160平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,1人关注 / 一年前发布,290,"18,125元/平"
万科莱茵小镇 房主诚心出售  价格可议,万科莱茵小镇 -万科城,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,120,"8,889元/平"
万科城 南北通透 看房方便 小区舒适 松花江边 空气好,万科城D区 -万科城,3室1厅 | 140.87平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,146,"10,365元/平"
万科城B区 头排望江的三居室 业主保持的很好！,万科城B区 -万科城,3室2厅 | 165.59平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 一年前发布,175,"10,569元/平"
电梯洋房 ，一天未住，可望江，精装修,万科城D区 -万科城,3室2厅 | 153平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,185,"12,092元/平"
头排望江，客厅面宽7米5，四室三卫,万科城B区 -万科城,4室2厅 | 212平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,10人关注 / 一年前发布,205,"9,670元/平"
万科上东区 精装修 南北通透 江景房,万科上东区 -万科城,4室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,139.8,"9,846元/平"
万科城8号地 园区环境好 房子视野好 拎包就能住,万科城D区 -万科城,3室2厅 | 122.5平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,105,"8,572元/平"
此房楼层好格局好视野宽阔采光好,万科城B区 -万科城,4室2厅 | 210.3平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,2人关注 / 一年前发布,229,"10,890元/平"
万科城 南北通透 看房方便 小区舒适 松花江边 空气好,万科城D区 -万科城,3室1厅 | 140.87平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,146,"10,365元/平"
万科城B区 头排望江的三居室 业主保持的很好！,万科城B区 -万科城,3室2厅 | 165.59平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 一年前发布,175,"10,569元/平"
头排望江，客厅面宽7米5，四室三卫,万科城B区 -万科城,4室2厅 | 212平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,10人关注 / 一年前发布,205,"9,670元/平"
万科城8号地 园区环境好 房子视野好 拎包就能住,万科城D区 -万科城,3室2厅 | 122.5平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,105,"8,572元/平"
万科上东区 精装修 南北通透 江景房,万科上东区 -万科城,4室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,139.8,"9,846元/平"
万科莱茵小镇 房主诚心出售  价格可议,万科莱茵小镇 -万科城,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,120,"8,889元/平"
小区环境好空气好交通便利出行方便,瀚林苑 -烽火丰满一实验,3室2厅 | 109.8平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,3人关注 / 一年前发布,86,"7,833元/平"
小区少有的小户型在售房源 ，江边小区 ，空气新鲜湿润,天鸿•水岸馨都 -万科城,3室2厅 | 124.2平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,7人关注 / 一年前发布,110,"8,857元/平"
头牌望江 南北通透格局 视野开阔 采光充足 交通方便,万科城B区 -万科城,3室2厅 | 166平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 一年前发布,170,"10,241元/平"
多层三楼 房主在海南 诚心出售此房,交行花园 -世纪广场,3室1厅 | 136平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,81.8,"6,015元/平"
铂悦公馆K区 3室2厅 南 北,铂悦公馆K区 -中海,3室2厅 | 134平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,130,"9,702元/平"
户型方正 好楼层 采光好 配套设施齐全 交通便利,中海紫御江城 -世纪广场,3室1厅 | 140平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,180,"12,858元/平"
万科莱茵小镇  电梯洋房   精装修 133平  随时看房,万科莱茵小镇 -万科城,3室2厅 | 133.5平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 5个月以前发布,143,"10,712元/平"
万科滨江九里天然氧吧公园里安个家,万科滨江九里 -万科城,4室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,155,"11,072元/平"
万科城D区 头牌望江房  三室两厅两卫 南北通透 11楼,万科城D区 -万科城,3室2厅 | 136.53平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 5个月以前发布,135,"9,888元/平"
三室户型 楼前就是水系景观  价格可议,天鸿•水岸馨都 -万科城,3室2厅 | 124.06平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,14人关注 / 一年前发布,95,"7,658元/平"
万科城 两室一厅 南北通透 户型好 两年外,万科城 -万科城,2室2厅 | 88.67平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,78,"8,797元/平"
楼层好 视野无遮挡 全天采光 户型好,万科莱茵小镇 -万科城,3室2厅 | 123.62平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,122,"9,869元/平"
万科滨江九里，电梯洋房，5楼，南北通透,万科滨江九里 -万科城,3室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,5人关注 / 一年前发布,199,"12,061元/平"
万科九里 6越7  仅有一套毛坯  房主诚意出售,万科滨江九里 -万科城,5室2厅 | 188平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,239.8,"12,756元/平"
万科城精装修，拎包入住！！！！！！！,万科城 -万科城,3室2厅 | 225平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,6人关注 / 一年前发布,320,"14,223元/平"
万科新小区 大四居 可望江 新房未住,万科滨江九里 -万科城,4室1厅 | 138平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,130,"9,421元/平"
毛坯三居，随心装修，封闭园区生活便利,首创国际广场 -大润发四店,3室2厅 | 110.7平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,59.8,"5,402元/平"
南望江 望水 南北通透 支持贷款 价格可议 封闭小区,天鸿•水岸馨都 -万科城,2室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,95,"9,048元/平"
精装三居室，总价低，保持的好拎包入住,万科城B区 -万科城,3室2厅 | 117平米 | 南 西 北 | 精装 | 低楼层(共30层)  | 板楼,5人关注 / 一年前发布,90,"7,693元/平"
头牌望江，楼层好，精装，看房方便。,万科城B区 -万科城,3室2厅 | 166平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,3人关注 / 一年前发布,178,"10,723元/平"
中环·滨江花园 3室2厅 南 北,中环·滨江花园 -世纪广场,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,164.9,"11,950元/平"
电梯洋房 楼层二楼 采光好 结婚 置换均可,万科莱茵小镇 -万科城,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,144,"10,828元/平"
型格局好，视野开阔采光充足配套设施齐交通方便。,世纪嘉园 -世纪广场,2室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,94,"7,834元/平"
三室户型 楼前就是水系景观  价格可议,天鸿•水岸馨都 -万科城,3室2厅 | 124.06平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,14人关注 / 一年前发布,95,"7,658元/平"
毛坯三居，随心装修，封闭园区生活便利,首创国际广场 -大润发四店,3室2厅 | 110.7平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,59.8,"5,402元/平"
万科滨江九里，电梯洋房，5楼，南北通透,万科滨江九里 -万科城,3室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,5人关注 / 一年前发布,199,"12,061元/平"
楼层好 视野无遮挡 全天采光 户型好,万科莱茵小镇 -万科城,3室2厅 | 123.62平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,122,"9,869元/平"
南望江 望水 南北通透 支持贷款 价格可议 封闭小区,天鸿•水岸馨都 -万科城,2室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,95,"9,048元/平"
精装三居室，总价低，保持的好拎包入住,万科城B区 -万科城,3室2厅 | 117平米 | 南 西 北 | 精装 | 低楼层(共30层)  | 板楼,5人关注 / 一年前发布,90,"7,693元/平"
万科新小区 大四居 可望江 新房未住,万科滨江九里 -万科城,4室1厅 | 138平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,130,"9,421元/平"
万达商圈 中海悦江府 三期 两室两厅两卫毛坯,中海悦江府 -万达广场,3室2厅 | 126平米 | 西南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,113.5,"9,008元/平"
园中楼二排望江效果好 中间楼层位置好采光好南北通透,万科上东区 -万科城,3室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,140,"10,072元/平"
此房单价 9327 三室 房主诚心出售 喜欢花园小院必看,卢瓦尔小镇 -雾凇中路,2室2厅 | 123.3平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,94,"7,624元/平"
：南北通透，楼层好，视野开阔，采光充足，配套设施,鸿博嘉园 -大润发二店,3室1厅 | 137平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,92,"6,716元/平"
江南新小区  好楼层  采光好  通透户型,金域豪庭 -松花江中学,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,120,"8,696元/平"
中海国际社区  房子格局好封闭小区，拎包入住,中海国际社区 -中海,2室1厅 | 89.62平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,82,"9,150元/平"
恒东花园多层二楼不挡光全天采光充足,恒东花园 -八一,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,90,"6,429元/平"
渤海山水云天  三室一厅一 厨 二卫 视野开阔,渤海山水云天 -中海,3室1厅 | 121.5平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,11人关注 / 一年前发布,77,"6,338元/平"
多伦多高档宅区 环境优雅 标准3室 小高中层,多伦多花园 -中海,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,110,"8,462元/平"
锦绣江南 电梯中楼层 南北通精装拎包住 绿化大 物业好,锦绣江南 -松花江中学,2室2厅 | 111平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,92,"8,289元/平"
龙成帝景园林花园社区 好楼层 精装修,龙城帝景 -中海,2室2厅 | 107平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,92,"8,599元/平"
龙城帝景  三居室跃层  诚意出售,龙城帝景 -中海,3室2厅 | 126.74平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 9个月以前发布,98.6,"7,780元/平"
剑桥郡 江南封闭小区 中海物业 相中价格可议,剑桥郡 -中海,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,90,"7,759元/平"
紫金江尚 电梯洋房 欧式装修带家具家电 带车位带仓库,紫金江尚 -八一,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,11人关注 / 一年前发布,160,"12,122元/平"
电梯楼 精装修一年南北通透拎包住小区空气好适合居住,盈胜毓园 -厦门街,2室2厅 | 88.75平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,6人关注 / 一年前发布,78,"8,789元/平"
铂悦公馆电梯房 精致装修 采光好 中海物业,中海铂悦公馆一期 -中海,4室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,9人关注 / 一年前发布,130,"9,155元/平"
紫光瀚星物业，明星物业，24小时物业服务，交通便利。,瀚星紫光绅苑2期 -松花江中学,3室2厅 | 131.6平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,122,"9,271元/平"
水韵名称，26楼头牌正望江，3室2厅2卫，欧式HAO装,水韵名城 -世纪广场,3室2厅 | 171平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,256,"14,971元/平"
荣邦新城封闭小区，格局好，采光也很好,荣邦新城 -丰满二实验,2室2厅 | 97.98平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,9人关注 / 6个月以前发布,69.8,"7,124元/平"
中海铂悦公馆K区三室两卫精装可贷款,铂悦公馆K区 -中海,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,103,"8,111元/平"
大剧院旁 龙城帝景 三室精装修 拎包入住,龙城帝景 -中海,3室1厅 | 127平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,100,"7,875元/平"
龙城帝景  精装修  三室两厅两卫  带家电  拎包入住,龙城帝景 -中海,3室2厅 | 127.21平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,125,"9,827元/平"
封闭高档小区 多伦多花园 四室,多伦多花园 -中海,4室2厅 | 158平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,7人关注 / 一年前发布,130,"8,228元/平"
中海国际社区 3室1卫 南北通透 采光好,中海国际社区 -中海,3室1厅 | 113.53平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 4个月以前发布,89,"7,840元/平"
个人精装房 视野开阔 拎包可住,中海国际社区 -中海,3室2厅 | 114平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,105,"9,211元/平"
泽信吉府，高楼层，全天采光，经典毛坯，随时看房，,泽信吉府 -中海,2室2厅 | 101平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,90,"8,911元/平"
中间楼层 采光观景好 大阳台  精装修  自住保持新,铂悦公馆K区 -中海,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,105,"8,268元/平"
盈胜7080  标准户型  封闭式小区,盈胜7080 -松花江中学,3室2厅 | 135.2平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,120,"8,876元/平"
龙城帝景 小高层2楼 三居室 精装修 拎包即住,龙城帝景 -中海,3室2厅 | 131平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,124,"9,466元/平"
中海新都会一楼带花园3室个人精装采光供热好拎包即住,中海新都会 -红星美凯龙,3室2厅 | 128.81平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,130,"10,093元/平"
江南中海紫御江城精装三室两厅两卫,中海紫御江城 -世纪广场,3室2厅 | 139.69平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,154.8,"11,082元/平"
中海原山一期 多层 5跃6 南北通透 拎包入住,中海国际社区原山一期 -中海,4室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,104.8,"9,114元/平"
泽信吉府 小高中间楼层 采光好 户型方正 看房方便,泽信吉府 -中海,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,99.8,"8,458元/平"
伴山郡 4室1卫 小高9层 视野好 采光好,伴山郡 -中海,4室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,3人关注 / 一年前发布,109,"7,677元/平"
楼位好，精装三居，南北通透，保持新，支持贷款,中海国际社区 -中海,3室2厅 | 100.21平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,27人关注 / 一年前发布,78,"7,784元/平"
小高中间楼层，三室两厅两卫，毛坯随意装 看房方便,铂悦公馆K区 -中海,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,93,"7,323元/平"
