标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
此房板式结构，南北通透，采光好，精装修,清华园 -襄城区,3室2厅 | 107.27平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 7个月以前发布,145,"13,518元/平"
家乐福商圈精装大2室，业主诚售，楼层好，采光通透,牡丹小区 -樊城东区,2室2厅 | 83.27平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,65,"7,806元/平"
此房满五唯一，通透户型，交通便利，配套齐全。,立业小区 -樊城东区,2室1厅 | 58.01平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,42,"7,241元/平"
天元四季城商圈人民广场商圈 ，生活配套齐全,焦家台供销社 -樊城东区,3室2厅 | 107.84平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 10个月以前发布,79,"7,326元/平"
万达商圈 毛纺花园 地龙公寓 单价低,地龙公寓 -樊城东区,3室1厅 | 85.37平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,54.5,"6,384元/平"
前进路和人民路交叉口 一室一厅毛坯 总价低 地段好,襄烟金城区家属院 -樊城东区,1室1厅 | 47.04平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,35,"7,441元/平"
单位家属院，万达广场，停车方便，集中供暖，满五唯一,610航宇家属院 -樊城东区,2室1厅 | 73.68平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,82,"11,130元/平"
诸葛亮万达商圈长虹路沿线电梯房出行娱乐休闲方便,广景碧云天国际商务花园 -樊城东区,2室1厅 | 87.64平米 | 西 北 | 毛坯 | 中楼层(共19层)  | 塔楼,1人关注 / 6个月以前发布,82,"9,357元/平"
凤雏大桥35中人民广场沿江大道电梯两房,航瑞大厦 -樊城东区,2室1厅 | 101.31平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,7人关注 / 6个月以前发布,73,"7,206元/平"
红光路楼层低 诚心售卖出 长征路XX 3室两户可分开住,红光路物资局家属院 -樊城东区,3室1厅 | 84.8平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,3人关注 / 5个月以前发布,56,"6,604元/平"
好房优选，中装客厅朝南，南边大阳台，通风，采光无遮,蔬菜公司家属院 -樊城东区,1室1厅 | 50.76平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,36,"7,093元/平"
看房子有钥匙，家乐福商圈拎包入住,领秀中原公寓 -樊城东区,1室1厅 | 47.26平米 | 南 | 简装 | 中楼层(共22层)  | 塔楼,1人关注 / 9个月以前发布,33,"6,983元/平"
户型方正，采光好。经典大2房。,东津世纪城14区崇文府 -东津区,2室2厅 | 88.22平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 11个月以前发布,65,"7,368元/平"
此房证件已满两年 南北户型 户型方正 前后无遮挡,冠通梧桐湾 -襄城区,2室2厅 | 97.21平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,122.5,"12,602元/平"
此房满五南北朝向松鹤路和32中，中间楼层采光好。,毛纺小区 -樊城东区,2室1厅 | 76.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,80,"10,440元/平"
民发商圈旁，都会山旁，民发学院派，视野采光好,民发世界城学院派 -襄州区,2室1厅 | 88.14平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,79,"8,964元/平"
长虹路主干道上，小区环境好停车方便户型方正采光好。,海润名都 -樊城东区,4室2厅 | 147.79平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,9人关注 / 一年前发布,132.9,"8,993元/平"
房子是精装修的，拎包入住。。。,海容骧龙国际 -襄城区,2室2厅 | 94.73平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,12人关注 / 一年前发布,107,"11,296元/平"
万山轴承厂65平经典两室  带装修 南北向 税少可贷款,襄阳轴承厂八街坊 -襄城区,2室1厅 | 65.49平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,37,"5,650元/平"
民发世界城三期学院派：户型方正紧促 光优良清爽简装,民发世界城学院派 -襄州区,2室2厅 | 88.5平米 | 西南 | 简装 | 低楼层(共29层)  | 板塔结合,0人关注 / 7个月以前发布,77,"8,701元/平"
房东诚意出售，家具家电齐全，还有个车棚，看房方便,铁四院清风园 -襄州区,2室1厅 | 88平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,53,"6,023元/平"
毛坯两房，可随意装修，视野采光充足，,东津世纪城16区天境台 -东津区,2室2厅 | 88.4平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,59,"6,675元/平"
公园一号 满五精装自住 诚心出售,公园一号 -襄州区,2室2厅 | 90.43平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,40,"4,424元/平"
人民广场天元四季城商圈普装三室一厅出售,桥北西路22号税务局 -樊城东区,3室1厅 | 104.58平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,53人关注 / 一年前发布,61,"5,833元/平"
精装，满二年，带装修，价可谈.,东津世纪城16区天境台 -东津区,2室2厅 | 86.35平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,2人关注 / 4个月以前发布,72,"8,339元/平"
清河口精装小二室，小区环境好，航空路旁边,百洋欧典 -襄州区,2室2厅 | 85.11平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 7个月以前发布,77.8,"9,142元/平"
沃尔玛、南国泛悦、天元商圈，精典两室，户型房正,人民路5710号 -樊城东区,2室2厅 | 77.04平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 4个月以前发布,56,"7,269元/平"
交通方便，一室一厅，小区停车方便,五一棉纺厂二生活区 -樊城东区,1室1厅 | 47.64平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,34,"7,137元/平"
檀溪主路单位家属院 小区安全 出行方便,警校家属院 -襄城区,2室1厅 | 77.8平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,75.7,"9,731元/平"
檀溪溪主干道上低密小高层住宅精装小三房业主急售！,山水檀溪 · 水园 -襄城区,3室2厅 | 90.61平米 | 东南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,104,"11,478元/平"
民发商圈精装 看江效果好 采光充足，中间楼层,百洋欧典 -襄州区,2室1厅 | 85.11平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 5个月以前发布,76,"8,930元/平"
襄城胜利街盛丰路家属院，停车免费，低密度，配套齐全,364医院家属院 -襄城区,2室2厅 | 72.96平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,58,"7,950元/平"
沃尔玛商圈 大庆西路 供水小区家属院 2室 诚售,供水小区 -樊城东区,2室1厅 | 68.09平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,52,"7,637元/平"
红光路简装大两房，户型方正采光好房东诚心卖房有钥匙,林物小区 -樊城东区,2室2厅 | 88.04平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,69,"7,838元/平"
长虹路，职工街，精装一室，中间楼层，看房方便有钥匙,五一棉纺厂二生活区 -樊城东区,1室1厅 | 43.39平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,31,"7,145元/平"
丹江路王家台大修队家属院一楼小两室,大修队家属院 -樊城东区,2室1厅 | 35.82平米 | 东南 | 简装 | 低楼层(共4层)  | 暂无数据,34人关注 / 一年前发布,28,"7,817元/平"
檀溪主路山水家园买房子包家具啦,山水家园 -襄城区,2室2厅 | 86.19平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,29人关注 / 一年前发布,108,"12,531元/平"
首付15万，毛纺小区中层2房，前面无遮挡，南北向,毛纺小区华盛公寓 -樊城东区,2室1厅 | 71.42平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,6人关注 / 8个月以前发布,55,"7,701元/平"
人民广场天元四季城70年产权住宅精装一室拎包入住满2,天元四季城 -樊城东区,1室1厅 | 49.89平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,56,"11,225元/平"
长虹路现代城凯旋国际，精装两房，看房方便,现代凯旋国际 -樊城东区,2室2厅 | 81.19平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,7人关注 / 一年前发布,72,"8,869元/平"
长虹路电梯房，看房方便，交通方便，购物方便，速下手,金座大厦 -樊城东区,4室2厅 | 175.1平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,11人关注 / 一年前发布,97,"5,540元/平"
房子满五二套，土地划拨13.86平，户型方正，停车方便,交警三大队家属院 -樊城东区,2室1厅 | 76.22平米 | 南 | 简装 | 低楼层(共5层)  | 暂无数据,10人关注 / 一年前发布,58,"7,610元/平"
中原路电气化机关家属院 中间楼层小两室,电气化二处机关 -樊城东区,2室1厅 | 58.84平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,14人关注 / 一年前发布,52,"8,838元/平"
好房急售 精品两室 采光向阳好 直接入住,普鑫 · 上東郡 -樊城东区,2室2厅 | 67.58平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 4个月以前发布,77.3,"11,439元/平"
翰松苑中间楼层满五唯一沃尔玛商圈,翰松苑 -樊城东区,2室1厅 | 78.35平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,62,"7,914元/平"
鼓楼商圈   东街省一建   2楼   南北通透   满五唯一,省一建家属院 -襄城区,2室2厅 | 62.64平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,80,"12,772元/平"
此房户型方正，南北格局，生活配套齐全，使用面积大,电务处家属院 -襄州区,2室2厅 | 77.61平米 | 西南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,48,"6,185元/平"
五一棉二生活区小区停车方便住房成本低看房有钥匙,五一棉纺厂二生活区 -樊城东区,1室1厅 | 47.64平米 | 东 | 简装 | 高楼层(共5层)  | 板塔结合,2人关注 / 3个月以前发布,26,"5,458元/平"
华光小区 吾悦 万达 广场  满五唯一精装婚房,华光小区 -樊城东区,2室1厅 | 87.54平米 | 东南 南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,66,"7,540元/平"
人民广场 人民路教育集团，商圈云集。后期税费低,人民路保险家属院 -樊城东区,2室1厅 | 93.6平米 | 南 | 简装 | 中楼层(共7层)  | 平房,7人关注 / 8个月以前发布,75,"8,013元/平"
君临山小区 前面.前面挨着碧桂园楼间距很 宽,君临山 -襄城区,2室1厅 | 93平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 塔楼,7人关注 / 6个月以前发布,84,"9,033元/平"
火车站商圈中铁七局家属院楼层低,中铁七局家属院 -樊城东区,1室1厅 | 41.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,29,"6,922元/平"
华洋堂商圈中轴线出行方便买一层得两层,三元小区二院 -樊城东区,2室1厅 | 80.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,89.5,"11,146元/平"
房子格局好，户型方正，小区才改造，干净卫生。,怡虹公寓 -襄城区,2室1厅 | 93.6平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 3个月以前发布,76.8,"8,206元/平"
春园路单位家属院小两室看房方便户型方正,中铁十一局中清小区 -樊城东区,2室1厅 | 55.41平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,45,"8,122元/平"
此房满五南北朝向松鹤路和32中，中间楼层采光好。,毛纺小区 -樊城东区,2室1厅 | 76.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,80,"10,440元/平"
民发商圈旁，都会山旁，民发学院派，视野采光好,民发世界城学院派 -襄州区,2室1厅 | 88.14平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,79,"8,964元/平"
长虹路主干道上，小区环境好停车方便户型方正采光好。,海润名都 -樊城东区,4室2厅 | 147.79平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,9人关注 / 一年前发布,132.9,"8,993元/平"
房子是精装修的，拎包入住。。。,海容骧龙国际 -襄城区,2室2厅 | 94.73平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,12人关注 / 一年前发布,107,"11,296元/平"
公园一号 满五精装自住 诚心出售,公园一号 -襄州区,2室2厅 | 90.43平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,40,"4,424元/平"
万达商圈 毛纺花园 地龙公寓 单价低,地龙公寓 -樊城东区,3室1厅 | 85.37平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,54.5,"6,384元/平"
前进路和人民路交叉口 一室一厅毛坯 总价低 地段好,襄烟金城区家属院 -樊城东区,1室1厅 | 47.04平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,35,"7,441元/平"
单位家属院，万达广场，停车方便，集中供暖，满五唯一,610航宇家属院 -樊城东区,2室1厅 | 73.68平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,82,"11,130元/平"
此房证件已满两年 南北户型 户型方正 前后无遮挡,冠通梧桐湾 -襄城区,2室2厅 | 97.21平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,122.5,"12,602元/平"
幸福小区 两室格局好  日照时间长  宜室宜家,幸福社区 -樊城东区,2室2厅 | 56.42平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,48,"8,508元/平"
星火路天元四季城商圈一楼，中装修装修，可以直接入住,市板纸油毡厂 -樊城东区,2室1厅 | 71.77平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,14人关注 / 11个月以前发布,42,"5,853元/平"
民发商圈精装 看江效果好 采光充足，中间楼层,百洋欧典 -襄州区,2室1厅 | 85.11平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 5个月以前发布,76,"8,930元/平"
广锦乐居广场 3室1厅 东 南,广锦乐居广场 -樊城东区,3室1厅 | 103.47平米 | 东 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,97.5,"9,424元/平"
盛世龙城精装大两房，中高楼层，户型方正采光好,盛世龙城 -樊城东区,2室2厅 | 87.61平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,123,"14,040元/平"
人民广场  人民公园武商旁  小面积住宅 电梯房 有钥匙,豪门新天地 -樊城东区,1室1厅 | 54.24平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,4人关注 / 一年前发布,45,"8,297元/平"
2楼，2室半，拎包入住，诚心卖,江华小区 -襄城区,2室1厅 | 72.32平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,62.2,"8,601元/平"
东门口简装复式楼大四房，另有50平阳光房！,油脂小区 -襄城区,4室2厅 | 105.44平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,108,"10,243元/平"
此房地理位置优越位于长征路主干道华洋堂商圈出行方便,襄阳市五金交电仓库家属院 -樊城东区,2室2厅 | 101.81平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,76.1,"7,475元/平"
精装修没住几天，全新东西都没使用过。,东津世纪城8区新外滩 -东津区,2室2厅 | 79.87平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,3人关注 / 5个月以前发布,59.8,"7,488元/平"
房子满两年，楼间距大，户型方正,东津世纪城16区天境台 -东津区,2室2厅 | 81.35平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,52,"6,393元/平"
民发世界城 清河旁  环境好2房2厅,民发世界城浅水湾 -襄州区,2室2厅 | 91.18平米 | 东南 | 简装 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,92,"10,090元/平"
此房满五唯一住房经典二楼小两室地理位置好总价低,长征路襄江商场家属院 -樊城东区,2室1厅 | 49平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,35.8,"7,307元/平"
四中  省一建新房 户型方正 合理采光好 上学近,省一建家属院 -襄城区,2室2厅 | 87.37平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,107,"12,247元/平"
