标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
本房电梯房中上楼层，纯南朝向，毛坯，可随意装修,渭水苑B区 -高新区,4室2厅 | 158.4平米 | 北 南 | 毛坯 | 高楼层(共24层)  | 板楼,2人关注 / 一年前发布,85.8,"5,417元/平"
百翠园带露台 中式装修 房本满二可按揭,百翠园 -新福路,5室2厅 | 160平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,128,"8,000元/平"
新福路豪城天下C区 三室两厅 房东诚意出售 价格可议,豪城C天下 -新福路,3室2厅 | 157.24平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,77.5,"4,929元/平"
新起点家园A区 顶层带两个楼台 精装修  南北通透三居,新起点家园A区 -高新区,3室1厅 | 123.33平米 | 北 南 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 1个月以前发布,67,"5,433元/平"
此房精装修的，采光好，视野好，有房本可按揭。,轩苑盛世二期B区 -新福路,2室2厅 | 92.5平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,62,"6,703元/平"
户型好，楼位低，南北通透，业主诚意出售。,新建路西段11号院 -火车站,2室1厅 | 67平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,17.5,"2,612元/平"
优质户型 电梯三室 精装修 业主诚意出售,百翠园B区 -新福路,3室2厅 | 130.46平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,65,"4,983元/平"
石鼓山畔，一梯一户，电梯大平层，只为少数人拥有,石鼓天玺台 -石坝河,4室2厅 | 248平米 | 南 北 | 毛坯 | 28层  | 板楼,5人关注 / 11个月以前发布,220,"8,871元/平"
世纪花园电梯四室精装修中间楼层,世纪花园 -桥南,4室2厅 | 341.21平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,19人关注 / 一年前发布,118,"3,459元/平"
西城雅园 3室1厅 南 北,西城雅园 -西关,3室1厅 | 60平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,19.5,"3,250元/平"
精装修 空间大 户型方正 采光充足 结构合理 诚心出售,寶隆華錦 -火车站,4室2厅 | 187平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,95,"5,081元/平"
业主急售新建路上简装修三室住宅楼一套,话北小区 -火车站,3室2厅 | 83.69平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,29.9,"3,573元/平"
壹号大院 电梯中间楼层 有本可按揭,壹号大院 -火车站,3室2厅 | 135.03平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,83,"6,147元/平"
挑空6米，附带双车位，电梯大四室，四世同堂尽享欢乐,山水文苑 -高新区,4室3厅 | 232平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,228,"9,828元/平"
业主急售新建路上精装修三室住宅楼一套,宝鸡电视台家属院 -火车站,3室2厅 | 109.58平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,25,"2,282元/平"
一城江山丨花园洋房底跃丨户型周正丨看房方便,聚丰一城江山I期 -石坝河,3室2厅 | 125.65平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 板楼,4人关注 / 一年前发布,118,"9,392元/平"
高新五路丨品质小区丨精装四室，带车位丨可拎包入住,九龙新城 -高新区,4室2厅 | 171.57平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,145,"8,452元/平"
宝烟新高层 5室2厅 南 北,宝烟新高层 -陈仓园,5室2厅 | 225平米 | 南 北 | 简装 | 28层  | 板塔结合,1人关注 / 3个月以前发布,145,"6,445元/平"
大庆路泰森广场旁 南北3居可按揭,锦苑小区(金台区) -大庆路,3室2厅 | 130.27平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 3个月以前发布,57,"4,376元/平"
精装修，南北通透，保持干净，整洁。,轩苑盛世二期B区 -新福路,3室2厅 | 123.31平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,83,"6,732元/平"
落地阳台，视野好，全新装修婚房，家具家电都带,豪城天下B区 -新福路,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,35.8,"3,691元/平"
户型方正，采光良好，大三室，位置优越，成熟小区,瑞祥花园 -新福路,3室1厅 | 110平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"5,000元/平"
三迪下叠 5室3厅3卫 281平精装带车位,三迪加州阳光小区 -三迪,5室3厅 | 281平米 | 南 北 | 简装 | 低楼层(共2层)  | 板塔结合,0人关注 / 3个月以前发布,259,"9,218元/平"
大庆路繁华地段 复式  4室房 户型好,锦苑小区(金台区) -大庆路,4室2厅 | 159.98平米 | 南 北 | 简装 | 7层  | 板楼,3人关注 / 一年前发布,70,"4,376元/平"
大庆路 电梯三室毛坯房  看房方便,电力新苑 -大庆路,4室1厅 | 178平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,92,"5,169元/平"
泰森千禧时代小区 4室2厅 南 北,泰森千禧时代小区 -大庆路,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,82,"5,735元/平"
户型方正，采光良好，大三室，位置优越，成熟小区,瑞祥花园 -新福路,3室1厅 | 110平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"5,000元/平"
大庆路泰森广场旁 南北3居可按揭,锦苑小区(金台区) -大庆路,3室2厅 | 130.27平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 3个月以前发布,57,"4,376元/平"
大庆路繁华地段 复式  4室房 户型好,锦苑小区(金台区) -大庆路,4室2厅 | 159.98平米 | 南 北 | 简装 | 7层  | 板楼,3人关注 / 一年前发布,70,"4,376元/平"
宝烟新高层 5室2厅 南 北,宝烟新高层 -陈仓园,5室2厅 | 225平米 | 南 北 | 简装 | 28层  | 板塔结合,1人关注 / 3个月以前发布,145,"6,445元/平"
泰森千禧时代小区 4室2厅 南 北,泰森千禧时代小区 -大庆路,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,82,"5,735元/平"
大庆路 电梯三室毛坯房  看房方便,电力新苑 -大庆路,4室1厅 | 178平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,92,"5,169元/平"
南北通透，楼层低出行方便，视野宽阔，空气流畅,豪城天下B区 -新福路,3室1厅 | 143平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,70,"4,896元/平"
落地阳台，视野好，全新装修婚房，家具家电都带,豪城天下B区 -新福路,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,35.8,"3,691元/平"
精装修，南北通透，保持干净，整洁。,轩苑盛世二期B区 -新福路,3室2厅 | 123.31平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,83,"6,732元/平"
急售 急售 可按揭人民街老车站片区，永兴巷市场旁！,永兴巷45号 -群众路,2室2厅 | 86.53平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,29.5,"3,410元/平"
三迪国际公寓，位置优越，交通便利，适合居住,三迪国际公寓 -三迪,1室1厅 | 55.46平米 | 西 北 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,31.7,"5,716元/平"
桥南精装一室低楼层拎包入住。。。,华夏盛世佳园 -桥南,1室1厅 | 42.52平米 | 北 | 简装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,25,"5,880元/平"
豪城天下  两室毛坯  南北通透 出售,豪城天下A东 -新福路,2室2厅 | 89.59平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,35人关注 / 一年前发布,36.3,"4,052元/平"
低楼层两室拎包入住，适合老人居住，配套成熟,宝工厂小区 -新福路,2室1厅 | 51.29平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,7人关注 / 一年前发布,9,"1,755元/平"
高新四路繁华地段，房龄新可塑性强,星钻国际 -高新区,1室0厅 | 41.81平米 | 北 | 毛坯 | 中楼层(共24层)  | 塔楼,1人关注 / 8个月以前发布,30,"7,176元/平"
高新四路，电梯一室，自 住，办 公两相宜,宏运警苑 -高新区,1室1厅 | 35.57平米 | 南 北 | 简装 | 高楼层(共13层)  | 板塔结合,24人关注 / 一年前发布,17.5,"4,920元/平"
毛坯现房，现买现装修，给您一个全新的家,高新永泰茗苑 -高新区,2室1厅 | 63平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 塔楼,31人关注 / 一年前发布,36,"5,715元/平"
阳光上东三室南北户型好户型，光线好,阳光上东 -高新区,3室2厅 | 60.37平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,39,"6,461元/平"
华夏盛世佳园         1室1卫,华夏盛世佳园 -桥南,1室1厅 | 77.37平米 | 北 | 简装 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,32,"4,136元/平"
高新 阳光上东.采光好 一居室，有钥匙随时看,阳光上东 -高新区,1室1厅 | 24.09平米 | 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,17人关注 / 一年前发布,17.2,"7,140元/平"
水木清华，2室复式，业主诚心出售，价格可谈！,水木清華 -高新区,2室1厅 | 36.52平米 | 北 | 其他 | 中楼层(共16层)  | 板楼,28人关注 / 一年前发布,28.8,"7,887元/平"
精装公寓  户型方正 采光好 出行方便,三迪国际公寓 -三迪,1室1厅 | 60.43平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,31.5,"5,213元/平"
高新6路 新起点C区 一室精装 好楼层 好户型,新起点家园C区 -高新区,1室1厅 | 45.66平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,27,"5,914元/平"
吾悦广场旁 精装修一室  手续齐全,新起点家园C区 -高新区,1室1厅 | 43.43平米 | 北 | 精装 | 高楼层(共17层)  | 板楼,3人关注 / 一年前发布,25,"5,757元/平"
供电局家属院精装两室低价出售.,宝鸡供电局家属院北区 -上马营,2室1厅 | 60平米 | 南 北 | 简装 | 5层  | 板楼,6人关注 / 一年前发布,12.5,"2,084元/平"
水韵江南一室一厅  南向  精装修  可按揭,水韵江南 -高新区,1室1厅 | 60.17平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,4人关注 / 9个月以前发布,40.5,"6,731元/平"
大社区 配套齐 全明户型 高新主干道,阳光上东 -高新区,2室1厅 | 46.64平米 | 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,24.8,"5,318元/平"
东风路 上马营  可看房 手续齐全 交通便利,上馬营東二小區 -上马营,2室1厅 | 68.29平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,16.48,"2,414元/平"
户型格局方正 采光好 电梯房 空气流通,三迪国际公寓 -三迪,1室1厅 | 55.51平米 | 东 | 简装 | 中楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,36,"6,486元/平"
高新四路 电梯中间楼层 一室一厨一卫,左岸新城 -高新区,1室0厅 | 44.89平米 | 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,31,"6,906元/平"
高新区 简装大两室 电梯房 39万 房本满二 可按揭,阳光上东 -高新区,2室2厅 | 52.44平米 | 北 | 简装 | 低楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,32,"6,103元/平"
房子地段好 交通便利 、生活便利、看房方便,東一小區 -上马营,2室2厅 | 52平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,15.8,"3,039元/平"
桥南电梯房，繁华路段，配套成熟,华夏盛世佳园 -桥南,1室1厅 | 92.5平米 | 西南 | 精装 | 低楼层(共26层)  | 塔楼,2人关注 / 一年前发布,43.7,"4,725元/平"
高新一路 复式房 纯毛坯 产权清晰 可按揭 随时交易,水木清華 -高新区,2室2厅 | 43.46平米 | 北 | 毛坯 | 高楼层(共16层)  | 板楼,3人关注 / 一年前发布,32,"7,364元/平"
宝鸡桥南宝成中苑小区配套设施全,宝成中苑小区 -清姜,2室1厅 | 46.53平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,11人关注 / 一年前发布,9.9,"2,128元/平"
东风路 银泰城 盛景乐园 低楼层 拎包入住 看房方便,盛景乐园 -上马营,2室1厅 | 82.5平米 | 西 | 简装 | 6层  | 板楼,0人关注 / 3个月以前发布,33.8,"4,097元/平"
軒苑世家一期 2室2厅 西 南,軒苑世家一期 -陈仓园,2室2厅 | 89.86平米 | 西 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,54,"6,010元/平"
高新四路 万润国际1室 电梯中层  有钥匙,万润国际广场 -高新区,1室1厅 | 53.73平米 | 南 | 简装 | 中楼层(共27层)  | 塔楼,0人关注 / 2个月以前发布,38.8,"7,222元/平"
桥南 景宏名园 精装修1室 带家具 可小刀,景宏名园 -桥南,1室1厅 | 57.47平米 | 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,26,"4,525元/平"
经典复式，户型结构好，业主急售,阳光上东 -高新区,2室2厅 | 101.14平米 | 南 北 | 毛坯 | 18层  | 板塔结合,18人关注 / 一年前发布,28.5,"2,818元/平"
高新宝一中隔壁阳光上东复式中装1室上下50平15万可看,阳光上东 -高新区,1室1厅 | 24平米 | 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,15,"6,250元/平"
姜谭路一康医院隔壁 电梯精装两室 看房方便,东方御景 -姜谭路,2室1厅 | 99.6平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 14天以前发布,48,"4,820元/平"
房子户型好，明厨明卫大两室，大露台。,百翠园 -新福路,2室1厅 | 122平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,46,"3,771元/平"
小区环境好，业主维护的相当好，基本可以拎包入住,植物园生态小区东区 -姜谭路,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,36,"3,712元/平"
银泰商圈.精装两室.可当婚房.业主急售.,海棠兰亭 -上马营,2室2厅 | 94平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 12天以前发布,63,"6,703元/平"
绿舟锦园 两室两厅 精装修 邻近河堤,绿舟锦园 -桥南,2室2厅 | 106.12平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,44.3,"4,175元/平"
两室，低楼层，上下方便，居住舒适，生活便利,新福园二区 -新福路,2室1厅 | 74.66平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,35,"4,688元/平"
此房生活配套齐全，交通便利，满五唯一,陕七建小区 -桥南,2室1厅 | 91.71平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,29.8,"3,250元/平"
桥南多层阳光房， 全明户型  马上装电梯  诚心出售,玉泉花园北区 -桥南,2室2厅 | 97.4平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,41,"4,210元/平"
低楼层，桥南 两室两厅的优质好房子,虹桥高新花园 -桥南,2室2厅 | 101.98平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,2人关注 / 一年前发布,44.5,"4,364元/平"
此房南北通透紧凑无浪费 干净整洁，简单装修,焦化厂家属院(金台区) -新福路,3室1厅 | 73.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,16,"2,168元/平"
火车站 两室 户型好 结构方正 采光好,金陵新村小区 -火车站,2室1厅 | 67.9平米 | 南 东 | 其他 | 8层  | 板塔结合,0人关注 / 一年前发布,19.3,"2,843元/平"
此房满二无大税，结构合理，无公摊,陕建二建集团建筑新村 -西关,2室1厅 | 69.5平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,20,"2,878元/平"
桥南繁华地段，英达路商圈，一居室，办公居家皆可,华夏盛世佳园 -桥南,1室0厅 | 77.78平米 | 南 | 简装 | 中楼层(共26层)  | 塔楼,0人关注 / 一年前发布,34,"4,372元/平"
广园路8号院业主诚心出售 看房方便,广元路8号院 -桥南,2室2厅 | 87.8平米 | 南 北 | 简装 | 高楼层(共7层)  | 平房,5人关注 / 一年前发布,28.5,"3,247元/平"
采光充足，视野开阔，中等装修，可拎包入住。,红光小区 -新福路,2室1厅 | 70.45平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,26,"3,691元/平"
桥南人民公园旁 次新小区 电梯精装两室 双阳台 采光好,南洋国际花园 -桥南,2室2厅 | 89.25平米 | 北 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,54.6,"6,118元/平"
新宝路38号大院 2室房源  采光好 低价位出售。,新宝路38号院 -火车站,2室1厅 | 55.25平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,11,"1,991元/平"
益门小区 依山傍水好房子 2室2厅1卫 93.17平 南北朝向,益门小区 -清姜,2室2厅 | 93.17平米 | 南 北 | 精装 | 6层  | 板楼,1人关注 / 3个月以前发布,19.9,"2,136元/平"
