标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
2室 采光视野好 全新 精装修 电梯房  万科城市之光,沈抚万科城市之光 -沈抚新区,2室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,60,"6,316元/平"
沈抚新区万科城市之光两室精装修出售,沈抚万科城市之光 -沈抚新区,2室2厅 | 79.4平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,57.2,"7,205元/平"
沈抚 小户型一楼带花园 花园20平左右,德商春天里 -沈抚新区,1室1厅 | 56.41平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,42,"7,446元/平"
德商春天里南向临街门市 目前正在经营中,德商春天里 -沈抚新区,1室1厅 | 86.53平米 | 南 | 简装 | 低楼层(共1层)  | 板楼,0人关注 / 2个月以前发布,92.8,"10,725元/平"
出售！沈抚新区 南向一室一厅 楼层好可租可住,德商国际花园 -沈抚新区,1室1厅 | 59.35平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,35.5,"5,982元/平"
汇置亿丰，小户型，适合单身男女，房主诚心出售,亿丰中心 -沈抚新区,1室1厅 | 48平米 | 西北 | 精装 | 低楼层(共28层)  | 塔楼,2人关注 / 一年前发布,24,"5,000元/平"
万科城市之光新交付精装两室户型，南北通透景色好,沈抚万科城市之光 -沈抚新区,2室2厅 | 78平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,51,"6,539元/平"
精装修南北通透大两室 大开间 大露台,德商国际花园 -沈抚新区,2室2厅 | 99.11平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,67,"6,761元/平"
沈抚新区南北通透得房率高的好房子,德商国际花园 -沈抚新区,2室2厅 | 70.85平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,39.5,"5,576元/平"
精装，南向一室，家具家电全留下。,亿丰中心 -沈抚新区,1室1厅 | 51.41平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,3人关注 / 一年前发布,25.5,"4,961元/平"
性价高的房子*低于市场价*房主急出售“全款,金鼎世纪城 -沈抚新区,2室2厅 | 100平米 | 南 北 东 | 毛坯 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,31.5,"3,150元/平"
沈抚示范区  房源优质，看房方便1,国际鑫城 -沈抚新区,2室1厅 | 96平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,46,"4,792元/平"
出售 沈抚新区 德商国际花园 精装修小户型,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,22,"5,366元/平"
沈抚万科城市之光2-2-1-1 79.00m²,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,52,"6,583元/平"
亿丰小户型  地理位置优越  交通便利 精装修拎包入住,亿丰中心 -沈抚新区,1室1厅 | 60平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 6个月以前发布,26,"4,334元/平"
沈抚新区锦绣澜湾C区毛坯三室出售,锦绣澜湾C区 -沈抚新区,2室1厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,2人关注 / 6个月以前发布,49.8,"4,150元/平"
此房楼层好 位置优越 交通便利 下楼就是公交,中金公元启城 -沈抚新区,2室2厅 | 93.3平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,48,"5,145元/平"
出售 沈抚电梯顶跃 小高 3个露台,锦绣澜湾D区 -沈抚新区,3室2厅 | 129.33平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,18人关注 / 一年前发布,46,"3,557元/平"
急售万科二期 精装大两室 拎包入住  好楼层 采光,万科金域蓝湾 -沈抚新区,2室2厅 | 93.14平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,49,"5,261元/平"
急售，德商国际花园清水40平，楼层好,德商国际花园 -沈抚新区,1室2厅 | 40平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,24.1,"6,025元/平"
房主急售 婚装洋房 南北通透 拎包即住,德商春天里 -沈抚新区,2室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,45,"5,556元/平"
急售 沈抚新区 金鼎世纪城 两室 房源,金鼎世纪城 -沈抚新区,2室1厅 | 90平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,40,"4,445元/平"
21年新交付房源 电梯高层 南北格局 采光通风好,沈抚中南熙悦 -沈抚新区,2室1厅 | 75平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,52,"6,934元/平"
低密园区小洋房，成熟园区，教育，生活配套齐全,德商春天里 -沈抚新区,2室2厅 | 81平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,37,"4,568元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,明骏雅居 -沈抚新区,3室2厅 | 112平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 5个月以前发布,70,"6,250元/平"
房主诚心出售 此房满五 精装修 南北大户型 通风采光好,万科金域蓝湾 -沈抚新区,3室2厅 | 115.11平米 | 南 北 | 其他 | 低楼层(共22层)  | 板塔结合,2人关注 / 6个月以前发布,63,"5,474元/平"
精装三室洋房，适合多种人群，即买即住,德商春天里 -沈抚新区,3室2厅 | 87.59平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,50,"5,709元/平"
步梯三楼 双南卧 位置好 户型好,锦绣澜湾C区 -沈抚新区,3室2厅 | 109.41平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,46,"4,205元/平"
沈抚新区万科城市之光三室优质房源,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.75平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,98,"7,496元/平"
沈抚新区德商春天里优质全明户型,德商春天里 -沈抚新区,2室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,53.5,"6,012元/平"
沈抚中金 洋房好楼层 园区中间位置 随时看房,中金公元启城 -沈抚新区,3室2厅 | 97.74平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,105,"10,743元/平"
恒大养生谷3-2-1-3 167.00平 225 万）,恒大养生谷 -沈抚新区,3室2厅 | 167平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 板楼,0人关注 / 18天以前发布,225.5,"13,503元/平"
沈抚万科城市之光 3室1厅 南 北,沈抚万科城市之光 -沈抚新区,3室1厅 | 97平米 | 南 北 | 其他 | 中楼层(共20层)  | 板楼,0人关注 / 12天以前发布,61.5,"6,341元/平"
万科金域蓝湾 2室2厅 南 北,万科金域蓝湾 -沈抚新区,2室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,66,"6,667元/平"
沈抚示范区，生命之环旁，位置好.,中环天地 -其它,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,75,"6,638元/平"
沈抚 电梯河景高层 下楼就是浑河公园 带露台,德商国际花园 -沈抚新区,3室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 8天以前发布,60,"6,000元/平"
沈抚好户型 电梯小高精装 随时看房 拎包入住,锦绣澜湾D区 -沈抚新区,3室2厅 | 140平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 7天以前发布,65,"4,643元/平"
一楼带花园 高等装修 四室户型方正 看房方便,德商国际花园 -沈抚新区,4室2厅 | 160平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,138,"8,625元/平"
高品质洋房，北邻浑河，全新园区，随时看房,沈抚中南熙悦 -沈抚新区,3室2厅 | 100平米 | 北 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,95,"9,500元/平"
近轻轨5号线交通便利 精装修 拎包入住 视野开阔,明骏雅居 -沈抚新区,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 5天以前发布,74,"7,048元/平"
亿丰中心 1室1厅 南,亿丰中心 -沈抚新区,1室1厅 | 42平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 2天以前发布,18,"4,286元/平"
锦绣澜湾D区3-2-1-2 138.25平 南北户型 精装修 65 万,锦绣澜湾D区 -沈抚新区,3室2厅 | 138.25平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 4天以前发布,66,"4,774元/平"
沈抚中南熙悦 2室2厅 南,沈抚中南熙悦 -沈抚新区,2室2厅 | 76.74平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 2天以前发布,53,"6,907元/平"
精装洋房，带家具家电，拎包入住，随时看房,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,70,"7,217元/平"
万科金域蓝湾大平层 南北通透 无遮挡 采光好,万科金域蓝湾 -沈抚新区,3室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,3人关注 / 一年前发布,134.5,"9,341元/平"
房主诚心出售，户型好，全天采光，看房方便,沈抚万科城市之光 -沈抚新区,4室1厅 | 147.54平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 15天以前发布,131,"8,879元/平"
锦绣澜湾C区 2室2厅 北 南,锦绣澜湾C区 -沈抚新区,2室2厅 | 91平米 | 北 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,37,"4,066元/平"
中金公元启城 3室2厅 南 北,中金公元启城 -沈抚新区,3室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 8天以前发布,80,"7,921元/平"
沈抚新区德商国际花园120平3室2厅2卫精装住宅价格便宜,德商国际花园 -沈抚新区,3室1厅 | 119平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 1天以前发布,80,"6,723元/平"
业主急售 满二 精装 家具家电齐全,德商国际花园 -沈抚新区,2室1厅 | 70.85平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,35.8,"5,053元/平"
此房源满二年，,德商国际花园 -沈抚新区,1室1厅 | 59.25平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,32,"5,401元/平"
沈抚电梯小高 两室近育才 南昌 南京 配套齐全随时看房,德商国际花园 -沈抚新区,2室2厅 | 71平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,39,"5,493元/平"
（中金公元启城3-2-1-2 100.00平160 万）,中金公元启城 -沈抚新区,3室2厅 | 100平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,160.5,"16,050元/平"
沈抚新区锦绣蓝湾三室两厅两卫精装修出售,锦绣澜湾D区 -沈抚新区,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 10天以前发布,68,"4,858元/平"
电梯精装修小户型 楼层好视野开阔 家具家店齐全,德商国际花园 -沈抚新区,1室1厅 | 40.91平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,24,"5,867元/平"
出售 沈抚新区 德商国际花园 两室精装,德商国际花园 -沈抚新区,2室2厅 | 70.85平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,36,"5,082元/平"
锦绣澜湾C区  三室大开间 好户型 价格合理,锦绣澜湾C区 -沈抚新区,3室2厅 | 117.96平米 | 南 北 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,53,"4,494元/平"
公元启城3-2-1-1 97.10平 82.5 万）,中金公元启城 -沈抚新区,3室2厅 | 97.1平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,0人关注 / 8天以前发布,82.5,"8,497元/平"
国际鑫城2-2-1-1 83.00平 33.5 万）,国际鑫城 -沈抚新区,2室2厅 | 83.13平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 29天以前发布,33.5,"4,030元/平"
万科城市之光六期南北精装三室出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 96平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 31天以前发布,70,"7,292元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,万科金域蓝湾 -沈抚新区,3室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 31天以前发布,135,"8,438元/平"
楼层好 位置好 上下楼方便 适合居住,德商春天里 -沈抚新区,2室2厅 | 86平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 28天以前发布,55.8,"6,489元/平"
楼层好 采光好 得房率高 居住舒适度高,德商国际花园 -沈抚新区,4室2厅 | 172平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,89,"5,175元/平"
电  梯 房 楼 层 好 采 光 好,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 30天以前发布,28.2,"4,770元/平"
德商国际花园 清水 电梯高层 园区优美 标准户型物业好,德商国际花园 -沈抚新区,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 16天以前发布,59,"6,021元/平"
房子位置好，户型好。视野开阔满两年可贷款。,明骏雅居 -沈抚新区,3室2厅 | 112平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 26天以前发布,57,"5,090元/平"
精装小高，配置家具家电，全天采光，视野好,沈抚万科城市之光 -沈抚新区,3室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 26天以前发布,66,"6,667元/平"
北方大厦 2室1厅 南 北,北方大厦 -沈抚新区,2室1厅 | 95平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 17天以前发布,58,"6,106元/平"
君悦豪庭 2室2厅 南 北,君悦豪庭 -其它,2室2厅 | 96.69平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 16天以前发布,33,"3,413元/平"
李石四期回迁楼小区 2室1厅 南,李石四期回迁楼小区 -沈抚新区,2室1厅 | 62.91平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,19,"3,021元/平"
沈抚新区中金公元启程南北通透两室户型,中金公元启城 -沈抚新区,2室1厅 | 87平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 12天以前发布,67,"7,702元/平"
沈抚悦鑫国际南北大三室小高中间楼层价格可议看房方便,悦鑫国际 -沈抚新区,3室2厅 | 117平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 10天以前发布,60,"5,129元/平"
明骏雅居 3室2厅 南,明骏雅居 -沈抚新区,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 15天以前发布,73,"6,953元/平"
沈抚新区中金公元启城一室一厅经典户型,中金公元启城 -沈抚新区,2室1厅 | 57.42平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 12天以前发布,38,"6,618元/平"
自持物业 入住率高 室内温度好 邻居素质高,万科金域蓝湾 -沈抚新区,3室2厅 | 135.3平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 11天以前发布,92.5,"6,837元/平"
地旺国际2-2-1-1 98.11平 45 万,地旺国际 -沈抚新区,2室2厅 | 98.11平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,43.5,"4,434元/平"
沈抚万科城市之光 2室2厅 南 北,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,55,"6,963元/平"
沈抚万科城市之光 3室2厅 南 北,沈抚万科城市之光 -沈抚新区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,80,"6,957元/平"
德商电梯洋房三室两厅两卫精装修。随时看房。满五年,德商国际花园 -沈抚新区,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,80,"6,780元/平"
房源户型好，位置好，楼层好，满二可贷款。,沈抚万科城市之光 -沈抚新区,3室2厅 | 102平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,69,"6,765元/平"
步梯二楼好楼层 拎包即住 全天采光无遮挡,绿地剑桥 -沈抚新区,2室1厅 | 88.36平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,38.7,"4,380元/平"
清水大两室，随意装修，低密园区，舒适度高,中环天地 -其它,2室2厅 | 91平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,41.8,"4,594元/平"
沈抚德商国际花园一室经典小面积格局,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,27,"6,586元/平"
（万科金域蓝湾2-2-1-1 92.00平61 万）,万科金域蓝湾 -沈抚新区,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,61.5,"6,685元/平"
万科金域蓝湾 3室2厅 南 北,万科金域蓝湾 -沈抚新区,3室2厅 | 165平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,90,"5,455元/平"
万科精装洋房顶楼，三室两厅一卫，东山，位置佳,沈抚万科城市之光 -沈抚新区,3室2厅 | 101.62平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,76.7,"7,548元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,沈抚中南熙悦 -沈抚新区,2室1厅 | 75平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,52.5,"7,000元/平"
